,elevation_13,slope_13,aspect_13,placurv_13,procurv_13,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide,train
8618,1426.0,0.0,270.0,0.0,0.0,76.88908268511295,3,40,8,2,1,5,14,9,2,7,2,53,0.8617245005257623,0.9998823529411764,0.5070102089854447,0.9829525,0.7368562470742591,0.9381225898455189,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1,1
835,1553.0,0.0,270.0,0.0,0.0,2.596350794658065,0,1,0,0,0,0,1,1,1,0,0,0,0.4534005037783375,0.09,0.4998549322902752,0.11784661,0.31061722826638244,0.44531198889700235,Medium,Low,Medium,Low,Low,Medium,Medium,Very Low,Medium,Very Low,Low,Medium,0,1
1501,51.0,5.710593,180.0,-0.0,-20.0,59.95144257321954,7,155,11,1,11,3,36,5,6,2,2,45,0.20710059171597633,0.030862068965517242,0.4917279311423429,0.0096204635,0.040571675133022504,0.03558858692794364,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
9418,847.0,0.0,270.0,0.0,0.0,2.949209190905094,3,81,38,1,1,5,2,7,2,7,1,58,0.4534005037783375,0.6944202898550723,0.4974736932643933,0.5632056,0.2490159245367809,0.1460238881680124,Medium,High,Medium,Medium,Low,Low,Medium,High,Medium,Medium,Low,Very Low,1,1
3324,812.0,22.406872,284.03625,-8.400001,71.6,0.1041902303695678,3,81,38,1,1,5,2,7,2,7,1,77,0.17533718689788053,0.013333333333333332,0.4900399733673909,0.0059965374,0.15842275719306703,0.07741159428745988,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
3787,189.0,2.8624053,90.0,-0.0,-10.0,0.0142850456759333,7,122,49,1,1,5,2,7,2,4,2,13,0.02556818181818182,0.0,0.4850643296602025,0.001013514,0.023252502390093254,0.027574848667864638,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7291,2308.0,16.699244,90.0,-0.0,-60.0,18.087057633325458,2,107,12,1,28,3,44,5,2,6,1,55,0.8617245005257623,0.856520624303233,0.5016742654666387,0.76039326,0.7063954849082247,0.6447646992573184,High,High,Medium,High,High,Medium,Very High,Very High,Medium,High,High,High,1,1
5225,34.0,0.0,270.0,0.0,0.0,125.64658654108644,1,103,20,7,31,3,2,7,4,2,2,45,0.20710059171597633,0.03,0.496376525253211,0.045527834,0.24211020170209888,0.1391348338124421,Low,Low,Medium,Low,Low,Low,Low,Very Low,Medium,Very Low,Low,Very Low,0,1
4692,1104.0,15.793169,45.0,-0.0,0.0,0.0,4,52,32,1,16,3,8,5,10,7,1,61,0.12217194570135746,0.03,0.49544857155656447,0.04412531,0.16449512350849618,0.06021932241440603,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
4854,4.0,4.044691,135.0,-10.0,10.0,0.1832088939845562,3,117,62,8,44,6,64,9,13,2,2,9,0.02556818181818182,0.0,0.4902471222007529,0.0032843673,0.11694865408101736,0.0917720213210832,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
8079,1322.0,0.0,270.0,0.0,0.0,49.25024708267301,5,0,62,8,44,6,64,9,13,6,1,36,0.8617245005257623,1.0,0.5087782962123563,0.9971149,0.875370571564533,0.9200446037546794,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
654,2706.0,10.779772,66.80141,-9.411765,-39.411766,0.805228341370821,2,7,11,1,28,4,64,9,2,8,1,9,0.12217194570135746,0.18,0.4996363116252567,0.06634275,0.9710464205866959,0.8573030418306244,Low,Low,Medium,Low,High,High,Very Low,Very Low,Medium,Very Low,Very High,Very High,0,1
6159,2774.0,11.309933,0.0,-0.0,40.0,216.2692192513496,2,125,12,1,23,4,2,7,2,7,1,72,0.8617245005257623,0.9740000000000001,0.5044918680927359,0.99051636,0.9877888283545655,0.9728743644584168,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
7126,2554.0,12.137064,35.537678,5.0,5.0,91.505447011441,2,125,12,1,23,4,2,7,2,7,1,72,0.8617245005257623,0.9960934065934066,0.50461891324071,0.9898642,0.8817084816520487,0.9532852158828509,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
4839,629.0,2.8624053,90.0,-0.0,-10.0,11.496637597680092,3,75,60,1,23,4,2,7,2,6,1,77,0.17533718689788053,0.09,0.4964934228030791,0.104881786,0.1442295699413057,0.11077923751794765,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0,1
7143,2703.0,0.0,270.0,0.0,0.0,87.02895287238061,2,44,11,1,11,3,41,5,11,4,1,9,0.8617245005257623,1.0,0.5070074975204134,0.9876853,0.953382982526142,0.988409922948704,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,Very High,Very High,1,1
