,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
103383,103383,15.03879451,-90.19824362,0,2020-05-09,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ci,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa,Moderadamente Fina,Regular,Ultisoles,VII
103385,103385,15.36199019,-90.82246111,0,2021-05-31,Pc,Terciario,Tierras Altas Sedimentarias,Rocas Sedimentarias,Ca,Caliza y Ceniza Volcánica,Buen Drenaje,Franca a Franco-Limosa,Media,Franco-Limosa a Franco-Arcillosa,Media,Regular a Alto,Mollisoles,VII
103388,103388,14.8568984,-91.80168595,0,2011-06-02,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Os,Ceniza Volcánica Pomácea,Drenaje Excesivo,Arena-Franca o Arena Suelta,Gruesa,Ceniza Volcánica,-999,Alto,Andisoles,VIII
103404,103404,14.66393864,-90.764987,0,2013-01-10,Qp,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cq,Ceniza Volcánica Pomácea,Buen Drenaje,Franca a Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Alto,Andisoles,VII
103430,103430,14.44816705,-90.33018713,0,2019-10-06,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Jl,Ceniza Volcánica o Toba,Drenaje Excesivo,Franco-Arenosa Fina,Media,Franca o Franco-Arenosa Fina,Media,Alto,Entisoles,VII
103440,103440,15.10895896,-89.85163541,0,2014-09-18,Pzm,Terciario Inferior hasta el Cuaternario Reciente.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Mj,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Limosa a Arcilla-Micácea,Media,Alto,Inceptisoles,VIII
103451,103451,15.13024353,-91.85953885,0,2015-07-16,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
103460,103460,14.29721126,-90.10921245,0,2018-04-27,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Mg,Lava Máfica o Brecha de Toba,Buen Drenaje,Arcilla,Muy Fina,Arcilla,Muy Fina,Alto,Entisoles,VII
103492,103492,15.1186722,-90.78731508,0,2018-07-20,Pzm,Terciario hasta el presente,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Ci,Esquisto,Buen Drenaje,Franco-Limosa,Media,Franco-Arcillo-Limosa,Moderadamente Fina,Regular,Inceptisoles,VII
103504,103504,14.85569781,-91.88496503,0,2015-01-29,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Chv,Ceniza Volcánica,Drenaje Excesivo,Arena Fina-Franca Suelta o Arena Muy Fina -Franca,Gruesa,Ceniza no Intemperizada,--,Alto,Andisoles,VIII
