,landslide_id,latitude,longitude,landslide,event_date,rock_geo,rock_period,fis_nomr,rock_type,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_tax,soil_use
4354,4354,14.70833333,-91.01111111,1,2010-06-01,Tv,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tc,Ceniza Volcánica,Buen Drenaje,Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Bajo,Andisoles,II
4355,4355,14.975,-91.19694444,1,2010-06-01,Qp,Pleistoceno Holoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pz,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arcillosa o Franco-Arcillo-Arenosa,Moderadamente Fina,Alto,Andisoles,VII
4356,4356,14.97888889,-91.19027778,1,2010-06-01,Qp,Pleistoceno Holoceno,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qi,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arcillo-arenosa,Moderadamente Fina,Arcilla,Muy Fina,Alto,Alfisoles,VII
4357,4357,14.87388889,-90.66194444,1,2010-06-01,Qp,Cretácico superior y Terciario medio al superior.,Tierras Altas Cristalinas,ROCAS IGNEAS Y METAMORFICAS,Slq,-999,-999,-999,,-999,-999,-999,Entisoles,VI
4358,4358,14.74111111,-90.77305556,1,2010-06-01,Qp,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,AF,-999,-999,-999,-999,-999,-999,-999,Entisoles,VII
4360,4360,14.61527778,-90.82222222,1,2010-06-01,Qp,"Pleistoceno al Holoceno, es decir del período Cuaternario.",Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tc,Ceniza Volcánica,Buen Drenaje,Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Bajo,Andisoles,III
4361,4361,14.81111111,-90.92388889,1,2010-06-01,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qi,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arcillo-arenosa,Moderadamente Fina,Arcilla,Muy Fina,Alto,Alfisoles,VII
4362,4362,14.50083333,90.50555556,1,2010-06-01,,,,,,,,,,,,,,
4363,4363,14.63944444,-90.82305556,1,2010-06-01,Qp,"Pleistoceno al Holoceno, es decir del período Cuaternario.",Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Tc,Ceniza Volcánica,Buen Drenaje,Franco-Arcillo-Arenosa,Moderadamente Fina,Franco-Arcillosa,Moderadamente Fina,Bajo,Andisoles,VI
4364,4364,14.89611111,-90.93194444,1,2010-06-01,I,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Zc,Ceniza Volcánica,Drenaje Excesivo,Franco-Arenosa,Media,Franco-Arenosa,Media,Alto,Entisoles,VII
4365,4365,14.56638889,-90.93055556,1,2010-06-01,Tv,Finales del Terciario hasta principios del Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Pt,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arenosa,Media,Franco-Arenosa a Franco-Arcillosa,Media,Alto,Andisoles,VII
4366,4366,14.79277778,-90.79277778,1,2010-06-01,Tv,Período Cuaternario,Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Qi,Ceniza Volcánica Pomácea,Buen Drenaje,Franco-Arcillo-arenosa,Moderadamente Fina,Arcilla,Muy Fina,Alto,Alfisoles,VI
4367,4367,14.87333333,-90.99277778,1,2010-06-01,Tv,Terciario Superior (Plioceno),Tierras Altas Volcánicas,ROCAS IGNEAS Y METAMORFICAS,Cm,Ceniza Volcánica,Buen Drenaje,Franca,Media,Franco-Arcillosa o Arcilla,Moderadamente Fina,Regular a Bajo,Andisoles,VII
