,elevation_mean,slope_mean,aspect_mean,placurv_mean,procurv_mean,precipitation_mm_last_7_days,soil_tax,soil_rec_symbol,soil_rec_mat_origin,soil_rec_sew_class,soil_rec_tex_sup,soil_rec_c_tex_sup,soil_rec_tex_sub,soil_rec_c__tex_sub,soil_rec_risk_eros,soil_use,rock_type,rock_period,DecistionTree_prediction_prob,RandomForest_prediction_prob,AdaBoost_prediction_prob,XGBoost_prediction_prob,LogisticRegression_prediction_prob,SupportVectorMachine_prediction_prob,DecistionTree_class3,RandomForest_class3,AdaBoost_class3,XGBoost_class3,LogisticRegression_class3,SupportVectorMachine_class3,DecistionTree_class5,RandomForest_class5,AdaBoost_class5,XGBoost_class5,LogisticRegression_class5,SupportVectorMachine_class5,landslide
3394,244.48,19.868259823999995,225.69168360000003,1.2928599600000001,-12.307139399999999,33.735115591436625,7,77,49,1,1,5,2,7,4,8,2,3,0.012618296529968454,0.0,0.4908623337912781,0.0006654365,0.09421854376400987,0.054638070300011374,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
3763,164.92,5.307372808,188.57382184000002,-0.64,0.56,1.0468041896820068,3,148,8,1,16,3,55,5,2,3,2,53,0.012618296529968454,0.0014549180327868851,0.4918634851674037,0.009455993,0.04442990740189676,0.016482311571689532,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
5133,142.8,4.478218148,230.55780719999998,-1.107692304,2.0923076800000002,1.687780324369669,5,163,49,1,1,5,2,7,2,6,2,65,0.012618296529968454,0.0,0.4893533822373372,0.00023213838,0.017012873165719224,0.026769377275598034,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
1449,904.84,16.519853604,220.85077640000003,-2.6894390719999994,13.710561320000002,37.71980237402022,4,15,32,1,23,4,7,7,9,7,1,29,0.6115384615384616,0.08417750975569689,0.5008038441625519,0.07498871,0.4904566684383265,0.2922288928014506,Medium,Low,Medium,Low,Medium,Low,High,Very Low,Medium,Very Low,Medium,Low,0
2680,159.64,4.84464818,166.246918,1.0,0.2,0.3298251274973154,1,112,49,1,1,5,2,7,4,4,2,53,0.012618296529968454,0.0,0.4887211549873319,0.0005491499,0.034266061918939224,0.02329169242253614,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
6904,703.88,10.364550304,46.21593443999999,-1.6924706,-2.09247064,0.0,3,26,22,2,35,4,35,5,2,6,1,72,1.0,0.9982291666666667,0.49429743938095405,0.82473934,0.2669102008958456,0.11651150481042923,High,High,Medium,High,Low,Low,Very High,Very High,Medium,Very High,Low,Very Low,1
7516,675.88,27.499004640000003,203.47673080000004,3.554262160000001,23.154262640000002,112.8517329581082,6,144,22,1,37,3,62,4,2,7,2,32,0.8111111111111111,0.9985171800773067,0.5027360799608269,0.99060774,0.5771244876802335,0.8624141201602058,High,High,Medium,High,Medium,High,Very High,Very High,Medium,Very High,Medium,Very High,1
4602,51.4,1.3569365079999998,236.537398,-0.5,0.7,2.483321089297533,7,131,49,7,1,5,2,7,4,5,2,22,0.012618296529968454,0.0,0.4901608713363574,0.0010206967,0.01712364993375241,0.032811616010556606,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
8480,944.24,5.515043567999999,195.055904,-0.66,-0.66,99.3597924169153,2,140,11,1,37,3,59,4,10,6,1,15,0.8511904761904762,0.9914428691428828,0.5044974782362432,0.9919207,0.784497228974875,0.8975839710157631,High,High,Medium,High,High,High,Very High,Very High,Medium,Very High,High,Very High,1
458,1307.2,32.477444999999996,273.690206,-0.5693320560000004,-36.169332600000004,0.0611419025808572,6,8,8,1,23,4,10,7,2,7,2,53,0.09595959595959595,0.0,0.492902366627051,0.0019751857,0.17551529984590417,0.16877620627119627,Low,Low,Medium,Low,Low,Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,0
